[2023-11-22 17:20:37,123: INFO: 172992989: Downloaded data from https://drive.google.com/file/d/1B4KfV089MgvTnffdHtUQYIpVkUH5ehpd/view?usp=sharing into firl artifacts/data_ingestion/kidney-ct-scan-image.zip]
[2023-11-22 17:24:08,591: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-22 17:24:08,592: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-22 17:24:08,593: INFO: common: created directory at: artifacts]
[2023-11-22 17:24:08,594: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-22 17:24:08,595: INFO: 172992989: downloading data from https://drive.google.com/file/d/1B4KfV089MgvTnffdHtUQYIpVkUH5ehpd/view?usp=sharing into file artifacts/data_ingestion/kidney-ct-scan-image.zip]
[2023-11-22 17:24:10,030: INFO: 172992989: Downloaded data from https://drive.google.com/file/d/1B4KfV089MgvTnffdHtUQYIpVkUH5ehpd/view?usp=sharing into firl artifacts/data_ingestion/kidney-ct-scan-image.zip]
[2023-11-22 17:26:38,358: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-22 17:26:38,360: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-22 17:26:38,361: INFO: common: created directory at: artifacts]
[2023-11-22 17:26:38,363: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-22 17:26:38,364: INFO: 477817918: downloading data from https://drive.google.com/file/d/1B4KfV089MgvTnffdHtUQYIpVkUH5ehpd/view?usp=sharing into file artifacts/data_ingestion/kidney-ct-scan-image.zip]
[2023-11-22 17:26:47,874: INFO: 477817918: Downloaded data from https://drive.google.com/file/d/1B4KfV089MgvTnffdHtUQYIpVkUH5ehpd/view?usp=sharing into firl artifacts/data_ingestion/kidney-ct-scan-image.zip]
[2023-11-22 17:48:54,221: INFO: main: >>>> stage Data ingestion stage started <<<<]
[2023-11-22 17:48:54,222: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-22 17:48:54,222: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-22 17:48:54,222: INFO: common: created directory at: artifacts]
[2023-11-22 17:48:54,223: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-22 17:48:54,223: INFO: data_ingestion: downloading data from https://drive.google.com/file/d/1B4KfV089MgvTnffdHtUQYIpVkUH5ehpd/view?usp=sharing into file artifacts/data_ingestion/kidney-ct-scan-image.zip]
[2023-11-22 17:49:04,007: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1B4KfV089MgvTnffdHtUQYIpVkUH5ehpd/view?usp=sharing into firl artifacts/data_ingestion/kidney-ct-scan-image.zip]
[2023-11-22 17:49:04,533: INFO: main: >>>> stage Data ingestion stage completed <<<<<

x=======x]
[2023-11-23 21:11:36,714: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-23 21:11:37,072: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-23 21:11:37,074: INFO: common: created directory at: artifacts]
[2023-11-23 21:11:37,075: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-11-23 21:13:26,742: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-23 21:13:26,745: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-23 21:13:26,746: INFO: common: created directory at: artifacts]
[2023-11-23 21:13:26,747: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-11-23 21:13:30,394: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-23 21:13:30,396: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-23 21:13:30,397: INFO: common: created directory at: artifacts]
[2023-11-23 21:13:30,398: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-11-23 21:13:36,143: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-23 21:13:36,145: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-23 21:13:36,146: INFO: common: created directory at: artifacts]
[2023-11-23 21:13:36,146: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-11-23 21:14:46,777: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-23 21:14:46,779: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-23 21:14:46,780: INFO: common: created directory at: artifacts]
[2023-11-23 21:14:46,781: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-11-23 21:15:19,269: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-23 21:15:19,273: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-23 21:15:19,274: INFO: common: created directory at: artifacts]
[2023-11-23 21:15:19,275: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-11-23 21:16:27,199: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-23 21:16:27,201: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-23 21:16:27,202: INFO: common: created directory at: artifacts]
[2023-11-23 21:16:27,203: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-11-23 21:17:08,452: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-23 21:17:08,454: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-23 21:17:08,455: INFO: common: created directory at: artifacts]
[2023-11-23 21:17:08,456: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-11-23 21:17:22,690: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-23 21:17:22,693: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-23 21:17:22,694: INFO: common: created directory at: artifacts]
[2023-11-23 21:17:22,695: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-11-23 21:18:40,857: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-23 21:18:40,859: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-23 21:18:40,859: INFO: common: created directory at: artifacts]
[2023-11-23 21:18:40,860: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-11-23 21:19:40,247: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-23 21:19:40,249: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-23 21:19:40,250: INFO: common: created directory at: artifacts]
[2023-11-23 21:19:40,251: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-11-23 21:22:34,211: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-23 21:22:34,214: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-23 21:22:34,214: INFO: common: created directory at: artifacts]
[2023-11-23 21:22:34,215: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-11-23 21:22:34,517: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2023-11-23 21:25:58,340: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-23 21:25:58,342: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-23 21:25:58,343: INFO: common: created directory at: artifacts]
[2023-11-23 21:25:58,343: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-11-23 21:25:58,668: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2023-11-23 21:27:55,694: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-23 21:27:55,695: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-23 21:27:55,696: INFO: common: created directory at: artifacts]
[2023-11-23 21:27:55,697: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-11-23 21:27:56,025: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2023-11-23 21:50:16,265: INFO: utils: Note: NumExpr detected 12 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.]
[2023-11-23 21:50:16,266: INFO: utils: NumExpr defaulting to 8 threads.]
